13.33,144.94,9.9,40
13.47,144.94,9.9,40
13.61,144.94,9.9,40
13.85,144.94,9.9,40
14.1,144.94,9.9,40
14.21,144.94,9.9,40
14.28,144.94,9.9,40
14.38,144.94,9.9,40
14.51,144.94,9.9,40
14.58,144.94,9.9,40
14.73,144.94,9.9,40
14.97,144.94,9.9,40
15.23,144.94,9.9,40
15.4,144.94,9.9,40
15.57,144.94,9.9,40
16.09,144.94,9.9,40
16.26,117.12,6.47,40
16.48,117.12,6.47,40
16.69,117.12,6.47,40
16.87,117.12,6.47,40
17.1,117.12,6.47,40
17.33,117.12,6.47,40
17.49,117.12,6.47,40
17.66,117.12,6.47,40
17.85,117.12,6.47,40
18.02,117.12,6.47,40
18.21,117.12,6.47,40
18.36,79.77,9.65,40
18.52,79.77,9.65,40
18.73,79.77,9.65,40
18.95,79.77,9.65,40
19.13,79.77,9.65,40
19.34,79.77,9.65,40
19.54,79.77,9.65,40
19.7,79.77,9.65,40
19.89,79.77,9.65,40
20.04,79.77,9.65,40
20.21,79.77,9.65,40
20.41,52.38,-0.77,40
20.57,52.38,-0.77,40
20.76,52.38,-0.77,40
20.91,52.38,-0.77,40
21.06,52.38,-0.77,40
21.24,52.38,-0.77,40
21.43,52.38,-0.77,40
21.62,52.38,-0.77,40
21.78,52.38,-0.77,40
21.94,52.38,-0.77,40
22.09,52.38,-0.77,40
22.26,32.16,0.74,40
22.44,32.16,0.74,40
22.6,32.16,0.74,40
22.75,32.16,0.74,40
22.9,32.16,0.74,40
23.06,32.16,0.74,40
23.22,32.16,0.74,40
23.42,32.16,0.74,40
23.57,32.16,0.74,40
23.74,32.16,0.74,40
23.93,32.16,0.74,40
24.12,15.17,2.73,40
24.3,15.17,2.73,40
24.49,15.17,2.73,40
24.65,15.17,2.73,40
24.85,15.17,2.73,40
25.05,15.17,2.73,40
25.21,15.17,2.73,40
25.35,15.17,2.73,40
25.52,15.17,2.73,40
25.72,15.17,2.73,40
25.88,15.17,2.73,40
26.07,3.25,4.27,40
26.22,3.25,4.27,40
26.38,3.25,4.27,40
26.54,3.25,4.27,40
26.68,3.25,4.27,40
26.87,3.25,4.27,40
27.04,3.25,4.27,40
27.19,3.25,4.27,36
27.35,3.25,4.27,36
27.51,3.25,4.27,36
27.66,3.25,4.27,36
27.81,-3.4,3.58,31
28.05,-3.4,3.58,31
28.31,-3.4,3.58,31
28.56,-3.4,3.58,31
28.82,-3.4,3.58,31
29.07,-3.4,3.58,31
29.36,-3.4,3.58,22
29.64,-3.4,3.58,22
29.89,-3.4,3.58,22
30.14,-3.4,3.58,22
30.4,-3.4,3.58,22
30.67,-3.02,1.59,22
30.91,-3.02,1.59,8
31.18,-3.02,1.59,8
31.43,-3.02,1.59,8
31.69,-3.02,1.59,0
31.94,-3.02,1.59,0
32.19,-3.02,1.59,0
32.45,-3.02,1.59,0
32.71,-3.02,1.59,0
32.96,-3.02,1.59,0
33.22,-3.02,1.59,0
33.47,-3.32,2.46,0
33.73,-3.32,2.46,0
33.98,-3.32,2.46,0
34.24,-3.32,2.46,0
34.5,-3.32,2.46,0
34.75,-3.32,2.46,0
35.01,-3.32,2.46,0
35.26,-3.32,2.46,0
35.52,-3.32,2.46,0
35.83,-3.32,2.46,0
36.08,-3.32,2.46,0
36.34,-2.73,6.83,0
36.6,-2.73,6.83,0
36.85,-2.73,6.83,0
37.11,-2.73,6.83,0
37.36,-2.73,6.83,0
37.62,-2.73,6.83,0
37.87,-2.73,6.83,0
38.13,-2.73,6.83,0
38.39,-2.73,6.83,0
38.64,-2.73,6.83,0
38.9,-2.73,6.83,0
39.15,-3.27,3.93,0
39.41,-3.27,3.93,0
39.67,-3.27,3.93,0
39.92,-3.27,3.93,0
40.17,-3.27,3.93,0
40.94,-3.27,3.93,0
41.19,-3.27,3.93,0
41.45,-3.27,3.93,0
41.71,-3.27,3.93,0
41.77,-3.27,3.93,0
41.82,-3.27,3.93,0
41.87,-3.27,3.93,0
41.93,-3.27,3.93,0
41.97,-3.27,3.93,0
42.03,-3.27,3.93,0
42.1,-3.27,3.93,0
42.12,-3.27,3.93,0
42.18,-3.27,3.93,0
42.23,-3.27,3.93,0
42.28,-3.27,3.93,0
42.33,-3.27,3.93,0
42.38,-3.27,3.93,0
42.44,-3.27,3.93,0
42.48,-3.27,3.93,0
42.55,-3.27,3.93,0
42.59,-3.27,3.93,0
42.65,-3.27,3.93,0
42.7,-3.27,3.93,0
42.75,-3.27,3.93,0
42.79,-3.27,3.93,0
42.84,-3.27,3.93,0
42.91,-3.27,3.93,0
42.95,-3.27,3.93,0
43,-3.27,3.93,0
43.05,-3.27,3.93,0
43.1,-3.27,3.93,0
43.15,-3.27,3.93,0
43.2,-3.27,3.93,0
43.25,-3.27,3.93,0
43.31,-3.27,3.93,0
43.36,-3.27,3.93,0
43.41,-3.27,3.93,0
43.46,-3.27,3.93,0
43.51,-3.27,3.93,0
43.56,-3.27,3.93,0
43.61,-3.27,3.93,0
43.66,-3.27,3.93,0
43.71,-3.27,3.93,0
43.76,-3.27,3.93,0
43.82,-3.27,3.93,0
43.86,-3.27,3.93,0
43.91,-3.27,3.93,0
43.97,-3.27,3.93,0
44.03,-3.27,3.93,0
44.07,-3.27,3.93,0
44.13,-3.27,3.93,0
44.18,-3.27,3.93,0
44.24,-3.27,3.93,0
